Date,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Xinjiang,Yunnan,Zhejiang,Taiwan
2022/7/4,28.0,22.0,1.0,5.0,0.0,8.0,0.0,0.0,-0.0,0.0,0.0,0.0,2334.0,0.0,0.0,-0.0,2.0,0.0,0.0,1.0,38.0,-0.0,0.0,3.0,2.0,96.0,-0.0,6.0,2.0,-0.0,0.0,1.0,0.0,30165.0
2022/7/5,28.0,21.0,2.0,4.0,0.0,8.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2441.0,0.0,0.0,-0.0,2.0,1.0,0.0,1.0,38.0,-0.0,0.0,3.0,1.0,74.0,0.0,4.0,3.0,-0.0,0.0,0.0,0.0,28707.0
2022/7/6,28.0,21.0,2.0,4.0,0.0,8.0,-0.0,0.0,0.0,-0.0,0.0,0.0,2573.0,0.0,-0.0,-0.0,2.0,1.0,0.0,1.0,39.0,0.0,0.0,3.0,2.0,0.0,-0.0,5.0,3.0,0.0,0.0,1.0,0.0,28723.0
2022/7/7,28.0,21.0,2.0,5.0,0.0,7.0,-0.0,0.0,0.0,0.0,0.0,0.0,2669.0,0.0,-0.0,0.0,2.0,1.0,0.0,1.0,40.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,2.0,0.0,-0.0,1.0,1.0,27282.0
2022/7/8,28.0,20.0,2.0,6.0,0.0,7.0,-0.0,-0.0,0.0,0.0,1.0,1.0,2872.0,0.0,0.0,0.0,3.0,1.0,102.0,1.0,40.0,0.0,-0.0,3.0,2.0,30.0,-0.0,5.0,2.0,0.0,-0.0,1.0,2.0,26451.0
2022/7/9,28.0,19.0,2.0,5.0,0.0,8.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,2917.0,0.0,0.0,-0.0,2.0,-0.0,0.0,0.0,40.0,0.0,0.0,3.0,2.0,55.0,-0.0,5.0,2.0,0.0,0.0,1.0,1.0,26306.0
2022/7/10,28.0,19.0,2.0,6.0,0.0,9.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2987.0,0.0,0.0,-0.0,3.0,0.0,0.0,0.0,40.0,0.0,0.0,3.0,2.0,51.0,0.0,4.0,2.0,0.0,-0.0,1.0,1.0,23289.0
2022/7/11,28.0,22.0,2.0,5.0,0.0,9.0,-0.0,0.0,-0.0,0.0,0.0,0.0,3067.0,0.0,0.0,-0.0,3.0,0.0,0.0,1.0,40.0,-0.0,0.0,3.0,3.0,96.0,-0.0,6.0,3.0,-0.0,0.0,1.0,1.0,20133.0
2022/7/12,28.0,21.0,2.0,4.0,0.0,9.0,0.0,-0.0,1.0,0.0,0.0,0.0,3176.0,0.0,0.0,-0.0,3.0,1.0,0.0,1.0,40.0,-0.0,0.0,3.0,2.0,74.0,0.0,4.0,3.0,-0.0,0.0,0.0,1.0,18990.0
2022/7/13,28.0,21.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,-0.0,0.0,0.0,3308.0,0.0,-0.0,-0.0,3.0,1.0,0.0,1.0,40.0,-0.0,0.0,3.0,2.0,0.0,-0.0,5.0,3.0,-0.0,0.0,1.0,1.0,19335.0
2022/7/14,28.0,21.0,2.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3402.0,0.0,-0.0,0.0,3.0,1.0,0.0,1.0,40.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,3.0,0.0,-0.0,1.0,1.0,18235.0
2022/7/15,28.0,20.0,2.0,6.0,0.0,8.0,0.0,-0.0,0.0,0.0,1.0,1.0,3601.0,0.0,0.0,0.0,4.0,1.0,100.0,1.0,41.0,0.0,-0.0,3.0,3.0,30.0,-0.0,5.0,2.0,0.0,-0.0,1.0,2.0,17754.0
2022/7/16,28.0,19.0,2.0,5.0,0.0,9.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,3640.0,0.0,0.0,-0.0,3.0,-0.0,0.0,0.0,40.0,0.0,0.0,4.0,2.0,55.0,-0.0,5.0,2.0,0.0,0.0,1.0,1.0,17964.0
2022/7/17,28.0,19.0,2.0,6.0,0.0,10.0,0.0,0.0,-0.0,-0.0,0.0,0.0,3703.0,0.0,0.0,-0.0,4.0,0.0,0.0,0.0,40.0,-0.0,0.0,4.0,2.0,51.0,0.0,4.0,3.0,-0.0,-0.0,1.0,1.0,15304.0
2022/7/18,28.0,22.0,2.0,5.0,0.0,10.0,-0.0,0.0,-0.0,0.0,0.0,0.0,3774.0,0.0,0.0,-0.0,4.0,0.0,0.0,1.0,40.0,-0.0,-0.0,4.0,3.0,96.0,-0.0,6.0,3.0,-0.0,0.0,1.0,1.0,12506.0
2022/7/19,28.0,21.0,2.0,4.0,0.0,10.0,0.0,-0.0,1.0,0.0,0.0,0.0,3872.0,0.0,0.0,-0.0,3.0,1.0,0.0,1.0,40.0,-0.0,0.0,4.0,2.0,74.0,0.0,4.0,4.0,-0.0,0.0,0.0,1.0,11720.0
2022/7/20,28.0,21.0,2.0,4.0,0.0,10.0,0.0,0.0,0.0,-0.0,0.0,0.0,3992.0,0.0,-0.0,-0.0,4.0,1.0,0.0,1.0,40.0,-0.0,0.0,4.0,3.0,0.0,-0.0,5.0,4.0,-0.0,0.0,1.0,1.0,12420.0
2022/7/21,28.0,21.0,2.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4072.0,0.0,-0.0,0.0,4.0,1.0,0.0,1.0,40.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,3.0,0.0,-0.0,1.0,1.0,11668.0
2022/7/22,28.0,20.0,2.0,5.0,0.0,9.0,0.0,-0.0,0.0,0.0,1.0,1.0,4257.0,0.0,0.0,0.0,5.0,1.0,97.0,1.0,41.0,0.0,0.0,4.0,3.0,30.0,-0.0,5.0,3.0,0.0,-0.0,1.0,2.0,11529.0
2022/7/23,28.0,19.0,2.0,5.0,0.0,10.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,4280.0,0.0,0.0,-0.0,4.0,-0.0,0.0,0.0,40.0,0.0,0.0,4.0,3.0,55.0,-0.0,5.0,3.0,0.0,0.0,1.0,1.0,12072.0
2022/7/24,28.0,19.0,2.0,5.0,0.0,11.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4325.0,0.0,0.0,-0.0,4.0,0.0,0.0,-0.0,40.0,-0.0,0.0,5.0,3.0,51.0,-0.0,4.0,3.0,-0.0,-0.0,1.0,1.0,9737.0
2022/7/25,28.0,22.0,2.0,4.0,0.0,11.0,-0.0,0.0,-0.0,0.0,0.0,0.0,4378.0,0.0,0.0,-0.0,4.0,0.0,0.0,1.0,40.0,-0.0,-0.0,5.0,4.0,96.0,-0.0,6.0,4.0,-0.0,0.0,1.0,1.0,7254.0
2022/7/26,28.0,21.0,2.0,4.0,0.0,11.0,0.0,-0.0,1.0,0.0,0.0,0.0,4458.0,0.0,0.0,-0.0,4.0,1.0,0.0,1.0,40.0,-0.0,0.0,5.0,3.0,74.0,0.0,4.0,4.0,-0.0,0.0,0.0,1.0,6772.0
